,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip
count,3316.0,3316.0,3316.0,3316.0,3316.0,3316.0,3316.0,3316.0,3316.0,3316.0,3316.0,3316.0,3316.0,3316.0,3316.0
mean,446900.36157163145,3.26145958986731,1.997285886610374,1837.3030759951748,7026.547647768396,1.4911037394451145,0.0,0.0,3.4520506634499397,1602.7153196622437,234.58775633293124,1970.3814837153197,809.4206875753921,25.996381182147164,39.40500603136309
std,192851.69104128407,0.7709496476105573,0.6475910979620755,619.6333948510749,3412.850688480487,0.5453733995080707,0.0,0.0,0.665317501063424,614.2264068012661,355.3483339630975,30.268932462648767,979.477777585875,11.638392239861334,20.82667883031328
min,0.0,2.0,0.75,580.0,681.0,1.0,0.0,0.0,2.0,580.0,0.0,1900.0,0.0,0.0,0.0
25%,300000.0,3.0,1.5,1360.0,4622.75,1.0,0.0,0.0,3.0,1130.0,0.0,1950.0,0.0,18.0,22.0
50%,415000.0,3.0,2.0,1780.0,7034.5,1.5,0.0,0.0,3.0,1440.0,0.0,1973.0,0.0,32.0,42.0
75%,560000.0,4.0,2.5,2250.0,9042.75,2.0,0.0,0.0,4.0,1980.0,490.0,1998.0,1999.0,35.0,57.0
max,1150000.0,5.0,3.5,3910.0,18362.0,3.5,0.0,0.0,5.0,3340.0,1250.0,2014.0,2014.0,43.0,76.0
